Incident No,Business Unit,Site,City,Latitude (Site),Longitude (Site),State,Country,Damage Type,Damaged Item,Date and Time of Incident,Impacted Person,Incident Cause,Incident Description,Incident Severity,Incident Type,Reported By,Worker Type,Lost Hours,Reporting Time
29470,Production,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,05/11/2020 14:05,,Errors,Description 7847,Critical,Work Observation,Vic Teaball,Apprentice,,41
16169,Production,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,Cuts / Laceration,Finger,09/01/2020 10:30,,Errors,Description 3831,Critical,Injury/Illness,Axel Jacklin,Agency,,40
18229,Production,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,Foreign Body,Eye,17/11/2020 09:30,,Errors,Description 8239,Critical,Injury/Illness,Roy Highknock,Agency,,34
20650,Production,Whittlesey - Depot,Birmingham,52.48,-1.9025,England,United Kingdom,,,18/08/2022 08:39,,Errors,Description 19111,Critical,Near Miss,Jon Hamm,Apprentice,,24
20976,Production,Installations,Newmarket,52.2290161,0.417220927,England,United Kingdom,Cuts / Laceration,Head,12/02/2020 12:00,,Errors,Description 4763,Critical,Injury/Illness,Varrity Map,Subcontractor,,17
22304,Production,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,Bruising,Foot,16/04/2022 10:00,Bradley Welch,Errors,Description 17319,Critical,Injury/Illness,Jenny Jet,Permanent,,44
36708,Production,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,Burn - Chemical,Abdomen,30/06/2022 15:00,Scott Currall,Errors,Description 18371,Critical,Injury/Illness,Axel Jacklin,Permanent,,59
18580,Production,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,Burn - Chemical,Upper Leg,30/06/2022 15:00,Scott Currall,Errors,Description 18371,Critical,Injury/Illness,Axel Jacklin,Permanent,,45
35768,Production,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,10/03/2021 14:30,,Errors,Description 10259,Critical,Near Miss,Axel Jacklin,Apprentice,,50
15024,Transport,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,,,16/09/2021 12:00,,Errors,Description 13488,Critical,Environmental Incident,,Apprentice,,18
25257,Transport,Coleford,Swindon,51.58384844,-1.656880583,England,United Kingdom,,,13/12/2022 06:00,,Errors,Description 21016,Critical,Environmental Incident,Axel Jacklin,Apprentice,,34
20802,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,16/03/2021 18:00,,Errors,Description 10548,Critical,Environmental Incident,Jenny Jet,Apprentice,,21
31968,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,30/11/2022 11:00,,Errors,Description 20828,Critical,Environmental Incident,Ray Purchase,Apprentice,,37
17207,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,23/02/2023 12:32,,Errors,Description 22328,Critical,Near Miss,,Apprentice,,11
38143,Transport,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,,,12/08/2020 23:30,,Errors,Description 6632,Critical,Near Miss,,Apprentice,,58
19338,Transport,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,,,15/01/2021 08:12,,Errors,Description 9296,Critical,Near Miss,,Apprentice,,14
18544,Transport,Coleford,Swindon,51.58384844,-1.656880583,England,United Kingdom,,,01/12/2020 12:47,,Errors,Description 8756,Critical,Near Miss,,Apprentice,,14
35496,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,16/01/2020 11:30,,Errors,Description 4044,Critical,Near Miss,Axel Jacklin,Apprentice,,18
16979,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,18/01/2021 11:00,,Errors,Description 9048,Critical,Near Miss,Axel Jacklin,Apprentice,,29
17421,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,13/04/2021 07:26,,Errors,Description 10868,Critical,Near Miss,Axel Jacklin,Apprentice,,31
36350,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,19/04/2021 10:30,,Errors,Description 10936,Critical,Near Miss,Axel Jacklin,Apprentice,,38
7819,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,12/05/2021 07:30,,Errors,Description 11500,Critical,Near Miss,Axel Jacklin,Apprentice,,53
34742,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,04/11/2021 12:00,,Errors,Description 14220,Critical,Near Miss,Axel Jacklin,Apprentice,,31
42507,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,09/02/2022 12:00,,Errors,Description 15652,Critical,Near Miss,Axel Jacklin,Apprentice,,30
22285,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,07/03/2022 10:00,,Errors,Description 16176,Critical,Near Miss,Axel Jacklin,Apprentice,,31
29259,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,17/06/2022 12:44,,Errors,Description 18052,Critical,Near Miss,Axel Jacklin,Apprentice,,15
29742,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,25/08/2022 13:30,,Errors,Description 19248,Critical,Near Miss,Axel Jacklin,Apprentice,,12
37134,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,21/09/2022 12:30,,Errors,Description 19688,Critical,Near Miss,Axel Jacklin,Apprentice,,32
42368,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,08/11/2022 13:09,,Errors,Description 20600,Critical,Near Miss,Axel Jacklin,Apprentice,,35
39657,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,18/11/2022 08:30,,Errors,Description 20608,Critical,Near Miss,Axel Jacklin,Apprentice,,55
21982,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,27/02/2020 12:00,,Errors,Description 5100,Critical,Near Miss,Axel Jacklin,Apprentice,,59
24503,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,05/09/2020 11:38,,Errors,Description 6916,Critical,Near Miss,Axel Jacklin,Apprentice,,18
33362,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,21/09/2022 10:00,,Errors,Description 19700,Critical,Near Miss,Axel Jacklin,Apprentice,,12
19791,Transport,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,,,14/08/2020 11:00,,Errors,Description 6640,Critical,Near Miss,Axel Jacklin,Apprentice,,21
41783,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,24/11/2020 12:00,,Errors,Description 8416,Critical,Near Miss,Axel Jacklin,Apprentice,,32
15057,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,25/02/2021 00:00,,Errors,Description 10048,Critical,Near Miss,Axel Jacklin,Apprentice,,32
31658,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,27/09/2021 13:20,,Errors,Description 13652,Critical,Near Miss,Axel Jacklin,Apprentice,,40
18243,Transport,Coleford,Swindon,51.58384844,-1.656880583,England,United Kingdom,,,26/01/2022 14:26,,Errors,Description 15280,Critical,Near Miss,Axel Jacklin,Apprentice,,57
23347,Transport,Coleford,Swindon,51.58384844,-1.656880583,England,United Kingdom,,,07/07/2022 22:30,,Errors,Description 18504,Critical,Near Miss,Axel Jacklin,Apprentice,,53
19658,Transport,Coleford,Swindon,51.58384844,-1.656880583,England,United Kingdom,,,25/08/2022 09:30,,Errors,Description 19232,Critical,Near Miss,Axel Jacklin,Apprentice,,11
21319,Transport,Measham - Depot,Sheffield,53.41265531,-1.577202164,England,United Kingdom,,,18/02/2020 15:43,,Errors,Description 4872,Critical,Near Miss,Basil Jet,Apprentice,,35
42547,Transport,Measham - Depot,Sheffield,53.41265531,-1.577202164,England,United Kingdom,,,04/11/2020 09:06,,Errors,Description 7948,Critical,Near Miss,Basil Jet,Apprentice,,20
28015,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,16/09/2020 06:55,,Errors,Description 7052,Critical,Near Miss,Basil Jet,Apprentice,,30
32632,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,03/01/2022 07:00,,Errors,Description 14904,Critical,Near Miss,Basil Jet,Apprentice,,26
9214,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,12/09/2020 07:21,,Errors,Description 6992,Critical,Near Miss,Basil Jet,Apprentice,,30
12737,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,24/06/2022 05:27,,Errors,Description 18136,Critical,Near Miss,Basil Jet,Apprentice,,27
13004,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,27/10/2022 10:57,,Errors,Description 20212,Critical,Near Miss,Basil Jet,Apprentice,,59
15553,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,08/04/2022 14:00,,Errors,Description 16816,Critical,Near Miss,Bentley Kenneth,Apprentice,,46
16464,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,20/12/2022 06:00,,Errors,Description 21120,Critical,Near Miss,Bentley Kenneth,Apprentice,,17
19420,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,18/08/2020 10:02,,Errors,Description 6656,Critical,Near Miss,Bentley Kenneth,Apprentice,,48
21314,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,16/03/2021 09:15,,Errors,Description 10372,Critical,Near Miss,Bentley Kenneth,Apprentice,,45
26490,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,02/06/2021 07:59,,Errors,Description 11868,Critical,Near Miss,Bentley Kenneth,Apprentice,,26
28386,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,28/10/2022 07:38,,Errors,Description 20220,Critical,Near Miss,Bentley Kenneth,Apprentice,,24
29618,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,23/03/2022 01:30,,Errors,Description 16548,Critical,Near Miss,Betty Pimples,Apprentice,,38
34023,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,30/06/2021 10:36,,Errors,Description 12380,Critical,Near Miss,Betty Pimples,Apprentice,,17
37611,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,07/02/2022 14:58,,Errors,Description 15572,Critical,Near Miss,Betty Pimples,Apprentice,,45
37961,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,19/02/2022 09:29,,Errors,Description 15904,Critical,Near Miss,Betty Pimples,Apprentice,,21
40675,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,09/03/2022 10:29,,Errors,Description 16328,Critical,Near Miss,Betty Pimples,Apprentice,,51
41507,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,13/04/2022 11:14,,Errors,Description 17016,Critical,Near Miss,Betty Pimples,Apprentice,,46
41469,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,01/05/2022 08:04,,Errors,Description 17268,Critical,Near Miss,Betty Pimples,Apprentice,,11
15604,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,10/09/2020 14:00,,Errors,Description 7020,Critical,Near Miss,Brooke Hooberman,Apprentice,,46
17648,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,24/11/2021 10:00,,Errors,Description 14524,Critical,Near Miss,Brooke Hooberman,Apprentice,,18
37503,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,24/01/2022 12:48,,Errors,Description 15220,Critical,Near Miss,Brooke Hooberman,Apprentice,,54
16025,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,15/03/2022 13:30,,Errors,Description 16356,Critical,Near Miss,Brooke Hooberman,Apprentice,,46
12517,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,22/06/2020 07:30,,Errors,Description 5936,Critical,Near Miss,Charles Bonus,Apprentice,,38
24570,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,08/12/2020 15:00,,Errors,Description 8648,Critical,Near Miss,Charles Bonus,Apprentice,,58
42347,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,23/02/2021 08:00,,Errors,Description 10088,Critical,Near Miss,Charles Bonus,Apprentice,,24
25381,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,04/02/2022 06:00,,Errors,Description 15492,Critical,Near Miss,Charles Bonus,Apprentice,,59
8413,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,04/12/2020 15:05,,Errors,Description 8588,Critical,Near Miss,Clancy Moped,Apprentice,,25
9419,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,26/01/2021 08:54,,Errors,Description 9972,Critical,Near Miss,Clancy Moped,Apprentice,,53
26008,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,06/04/2021 11:06,,Errors,Description 11068,Critical,Near Miss,Clancy Moped,Apprentice,,42
18849,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,18/04/2021 14:54,,Errors,Description 11204,Critical,Near Miss,Clancy Moped,Apprentice,,13
23028,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,23/05/2021 06:48,,Errors,Description 11832,Critical,Near Miss,Clem Fandango,Apprentice,,38
35385,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,23/08/2022 09:45,,Errors,Description 19276,Critical,Near Miss,Cliff Bonanza,Apprentice,,17
30827,Transport,Milton,Hull,53.82159279,-0.31962791,England,United Kingdom,,,18/02/2021 13:25,,Errors,Description 9828,Critical,Near Miss,Cliff Bonanza,Apprentice,,19
36126,Transport,Measham - Depot,Sheffield,53.41265531,-1.577202164,England,United Kingdom,,,15/07/2022 10:17,,Errors,Description 18900,Critical,Near Miss,Cliff Bonanza,Apprentice,,56
38972,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,10/11/2020 07:00,,Errors,Description 7952,Critical,Near Miss,Cliff Bonanza,Apprentice,,31
42113,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,03/09/2021 09:30,,Errors,Description 13308,Critical,Near Miss,Cliff Bonanza,Apprentice,,46
42325,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,20/04/2021 09:00,,Errors,Description 10988,Critical,Near Miss,Des Wigwam,Apprentice,,38
26419,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,08/04/2022 13:43,,Errors,Description 16800,Critical,Near Miss,Des Wigwam,Apprentice,,19
10855,Transport,Hams Hall - Depot,Luton,51.92515717,-0.39278232,England,United Kingdom,,,15/01/2021 15:00,,Errors,Description 9192,Critical,Near Miss,Des Wigwam,Apprentice,,41
28658,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,11/10/2022 10:00,,Errors,Description 19964,Critical,Near Miss,Dinky Frinkbuster,Apprentice,,56
37762,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,09/03/2021 15:28,,Errors,Description 10236,Critical,Near Miss,Duncan Clench,Apprentice,,59
12229,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,17/02/2021 16:49,,Errors,Description 9812,Critical,Near Miss,Duncan Clench,Apprentice,,40
40627,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,13/07/2022 21:00,,Errors,Description 18660,Critical,Near Miss,Duncan Clench,Apprentice,,54
39888,Transport,Whittlesey,Kendal,54.31730537,-2.725765607,England,United Kingdom,,,11/01/2021 14:53,,Errors,Description 9056,Critical,Near Miss,Forrest Ash,Apprentice,,48
32590,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,24/01/2021 08:03,,Errors,Description 9216,Critical,Near Miss,Hamilton Meathouse,Apprentice,,59
39574,Transport,Thatcham - Depot,Bath,51.36203534,-2.352306051,England,United Kingdom,,,15/08/2022 06:29,,Errors,Description 19076,Critical,Near Miss,Hamilton Meathouse,Apprentice,,58
38166,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,20/01/2020 11:00,,Errors,Description 4140,Critical,Near Miss,Hamilton Meathouse,Apprentice,,26
39006,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,28/06/2022 07:00,,Errors,Description 18264,Critical,Near Miss,Hamilton Meathouse,Apprentice,,46
9084,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,01/03/2023 17:30,,Errors,Description 22224,Critical,Near Miss,Hamilton Meathouse,Apprentice,,19
28106,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,20/05/2021 19:00,,Errors,Description 11840,Critical,Near Miss,Jenny Jet,Apprentice,,44
15421,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,31/01/2022 08:41,,Errors,Description 15404,Critical,Near Miss,Jenny Jet,Apprentice,,49
20794,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,08/02/2022 15:09,,Errors,Description 15660,Critical,Near Miss,Jenny Jet,Apprentice,,41
39294,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,07/09/2022 15:11,,Errors,Description 19444,Critical,Near Miss,Jill Fan,Apprentice,,40
31319,Transport,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,,,26/02/2023 08:53,,Errors,Description 22160,Critical,Near Miss,Jill Fan,Apprentice,,50
25753,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,27/11/2022 22:30,,Errors,Description 20780,Critical,Near Miss,Jon Hamm,Apprentice,,29
24844,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,18/05/2021 07:30,,Errors,Description 11612,Critical,Near Miss,Jon Hamm,Apprentice,,39
36877,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,05/08/2021 13:00,,Errors,Description 12912,Critical,Near Miss,Jon Hamm,Apprentice,,41
38291,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,18/05/2022 08:00,,Errors,Description 17568,Critical,Near Miss,Jon Hamm,Apprentice,,33
23332,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,17/03/2021 00:00,,Errors,Description 10544,Critical,Near Miss,Jon Hamm,Apprentice,,45
14586,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,12/04/2022 11:40,,Errors,Description 17020,Critical,Near Miss,Jon Hamm,Apprentice,,33
17864,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,10/02/2023 06:30,,Errors,Description 21868,Critical,Near Miss,Kate Fear,Apprentice,,53
20543,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,10/11/2020 18:00,,Errors,Description 7964,Critical,Near Miss,Kate Fear,Apprentice,,52
23980,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,30/03/2022 17:30,,Errors,Description 16644,Critical,Near Miss,Kate Fear,Apprentice,,50
24903,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,09/02/2021 05:30,,Errors,Description 9688,Critical,Near Miss,Kate Fear,Apprentice,,44
25687,Transport,Whittlesey - Depot,Birmingham,52.48,-1.9025,England,United Kingdom,,,28/06/2021 13:52,,Errors,Description 12304,Critical,Near Miss,Lord Fotheringham,Apprentice,,14
40264,Transport,Swillington,Plymouth,50.3990056,-4.159206911,England,United Kingdom,,,17/03/2021 08:00,,Errors,Description 10404,Critical,Near Miss,Lord Fotheringham,Apprentice,,50
20902,Transport,Swillington,Plymouth,50.3990056,-4.159206911,England,United Kingdom,,,01/05/2021 07:00,,Errors,Description 11260,Critical,Near Miss,Lord Fotheringham,Apprentice,,43
30511,Transport,Swillington,Plymouth,50.3990056,-4.159206911,England,United Kingdom,,,03/03/2023 09:30,,Errors,Description 22236,Critical,Near Miss,Lord Fotheringham,Apprentice,,50
18262,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,10/12/2021 10:00,,Errors,Description 14756,Critical,Near Miss,Lord Fotheringham,Apprentice,,60
21767,Transport,Kings Dyke,Spalding,52.76839834,-0.105246123,England,United Kingdom,,,29/04/2022 09:00,,Errors,Description 17156,Critical,Near Miss,Lord Fotheringham,Apprentice,,34
29268,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,18/02/2020 12:30,,Errors,Description 4864,Critical,Near Miss,Lord Fotheringham,Apprentice,,49
17139,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,14/08/2020 10:11,,Errors,Description 6848,Critical,Near Miss,Lord Fotheringham,Apprentice,,59
36663,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,02/09/2020 10:34,,Errors,Description 6904,Critical,Near Miss,Lord Fotheringham,Apprentice,,30
15716,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,20/11/2020 11:07,,Errors,Description 8232,Critical,Near Miss,Lord Fotheringham,Apprentice,,22
23482,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,15/12/2020 09:05,,Errors,Description 8744,Critical,Near Miss,Lord Fotheringham,Apprentice,,37
32634,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,10/03/2021 14:02,,Errors,Description 10292,Critical,Near Miss,Lord Fotheringham,Apprentice,,40
32818,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,30/04/2021 08:11,,Errors,Description 11272,Critical,Near Miss,Lord Fotheringham,Apprentice,,51
32849,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,18/10/2021 06:46,,Errors,Description 13936,Critical,Near Miss,Lord Fotheringham,Apprentice,,45
35773,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,10/01/2022 09:14,,Errors,Description 14960,Critical,Near Miss,Lord Fotheringham,Apprentice,,25
38680,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,04/02/2022 08:16,,Errors,Description 15632,Critical,Near Miss,Lord Fotheringham,Apprentice,,18
28725,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,09/06/2022 03:40,,Errors,Description 17888,Critical,Near Miss,Lord Fotheringham,Apprentice,,15
35137,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,20/09/2022 11:52,,Errors,Description 19732,Critical,Near Miss,Lord Fotheringham,Apprentice,,58
36354,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,04/10/2022 11:42,,Errors,Description 19868,Critical,Near Miss,Lord Fotheringham,Apprentice,,29
14248,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,09/01/2023 08:23,,Errors,Description 21356,Critical,Near Miss,Lord Fotheringham,Apprentice,,59
42835,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,02/02/2023 06:37,,Errors,Description 21720,Critical,Near Miss,Lord Fotheringham,Apprentice,,31
7286,Transport,Coleford,Swindon,51.58384844,-1.656880583,England,United Kingdom,,,01/02/2023 09:59,,Errors,Description 21696,Critical,Near Miss,Lord Fotheringham,Apprentice,,31
13434,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,23/11/2020 10:03,,Errors,Description 8252,Critical,Near Miss,Max Avantgarde,Apprentice,,35
13892,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,28/01/2021 10:14,,Errors,Description 9336,Critical,Near Miss,Max Avantgarde,Apprentice,,21
21492,Transport,Thatcham - Depot,Bath,51.36203534,-2.352306051,England,United Kingdom,,,16/09/2022 12:29,,Errors,Description 19660,Critical,Near Miss,Max Avantgarde,Apprentice,,24
23236,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,02/12/2020 13:30,,Errors,Description 8484,Critical,Near Miss,Max Avantgarde,Apprentice,,15
27426,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,13/08/2020 20:00,,Errors,Description 6636,Critical,Near Miss,Max Avantgarde,Apprentice,,30
38039,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,09/08/2021 10:33,,Errors,Description 12936,Critical,Near Miss,Max Avantgarde,Apprentice,,60
40933,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,27/02/2023 07:32,,Errors,Description 22128,Critical,Near Miss,Max Avantgarde,Apprentice,,14
7759,Transport,Desford,Crawley,51.119827,-0.254941845,England,United Kingdom,,,08/09/2021 12:29,,Errors,Description 13360,Critical,Near Miss,Max Avantgarde,Apprentice,,51
10059,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,31/01/2020 07:53,,Errors,Description 4464,Critical,Near Miss,Nan Slack,Apprentice,,55
30499,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,24/02/2020 10:43,,Errors,Description 4952,Critical,Near Miss,Nan Slack,Apprentice,,36
25485,Transport,Wilnecote,Stoke-on-Trent,52.98651654,-2.17891467,England,United Kingdom,,,29/09/2021 07:30,,Errors,Description 13688,Critical,Near Miss,Nan Slack,Apprentice,,15
30696,Transport,Whittlesey,Kendal,54.31730537,-2.725765607,England,United Kingdom,,,23/02/2021 15:51,,Errors,Description 9992,Critical,Near Miss,Nan Slack,Apprentice,,36
39118,Transport,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,11/06/2021 08:59,,Errors,Description 12212,Critical,Near Miss,Nan Slack,Apprentice,,35
36901,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,10/07/2022 14:00,,Errors,Description 18620,Critical,Near Miss,Nan Slack,Apprentice,,24
37137,Transport,Kirton,Nottingham,53.00890879,-1.080582822,England,United Kingdom,,,07/03/2022 07:00,,Errors,Description 16252,Critical,Near Miss,Nan Slack,Apprentice,,47
42578,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,06/08/2022 00:04,,Errors,Description 18952,Critical,Near Miss,Neal Doubledecker,Apprentice,,51
11764,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,08/11/2022 08:45,,Errors,Description 20388,Critical,Near Miss,Neal Doubledecker,Apprentice,,41
20400,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,21/02/2023 08:14,,Errors,Description 22024,Critical,Near Miss,Neal Doubledecker,Apprentice,,46
26332,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,25/02/2023 09:14,,Errors,Description 22124,Critical,Near Miss,Neal Doubledecker,Apprentice,,44
36674,Transport,Hams Hall,Liverpool,53.4094,-2.9785,England,United Kingdom,,,14/09/2022 08:11,,Errors,Description 19584,Critical,Near Miss,Neal Doubledecker,Apprentice,,47
18621,Transport,Newbury,Darlington,54.52428462,-1.658029246,England,United Kingdom,,,18/02/2021 18:30,,Errors,Description 9864,Critical,Near Miss,Penny Traitor,Apprentice,,56
